name,Stamina,Sanity,MainText
I shall deal with it,0,-2,I shall deal with the issue immediately!
 rectify all the damages,0,-2,I will make sure to rectify all the damages anyone might have caused!
I will try to fix it.,0,-1,I will try to fix it.
I'll try my best.,0,-1,I have no idea what to do but I'll try my best. :)
devote time,0,-1,I will devote to this issue all my possible available time. :)
 good-for-nothing husband,-1,1,Give it to your good-for-nothing husband to do.
man up ,-1,1,You have to man up and deal with it yourself.
more care about yourself.,-2,2,Next time you should maybe more care about yourself.
I’d rather not make any moves,-2,2,I’d rather not make any moves before you pick up your ass and do something about it yourself.
So fuck right off.,-4,4,So fuck right off.
maybe like die.,-4,4,You should maybe like die.
DIEEE.,-4,4,DIEEE.
