name,Stamina,Sanity,MainText
Regeret,0,-2,I find this situation very (immesurably) regrettable.
I'm looking into it immediately!,0,-2,I have received your email and want to tell you that I'm looking into the matter immediately!
 I'm so sorry,0,-2,Oh I'm so sorry Jessica. That must have been a mistake on my end.
received your email,0,-1,I have received your email.
I see.,0,-1,I see.
No Problem,0,-1,I don't think this will be a problem.
Its your problem,-1,1,Are you sure this isn't a your problem?
You don't say.,-1,1,You don't say.
Who cares?,-1,1,Who cares?
 not my fucking problem,-2,2,I'm afraid that's not my fucking problem.
Wtf,-2,2,Wtf am I supposed to do with that.
Cant stand it anymore,-3,3,I can't stand your obnoxious fucking emails anymore.
wanted to die immediately,-3,3,I saw that email in my inbox and wanted to die immediately
WORST human,-4,4,It's the WORST human on EARTH messaging me AGAIN.
DIE,-4,4,DIE.
