name,Stamina,Sanity,MainText
 follow your exquisite orders.,0,-2,I want nothing but to follow your exquisite orders.
I want to apologize,0,-2,I want to apologize for any inconvenience I might have bestowed upon you.
bit overloaded,0,-1,"I'm a bit overloaded at the moment, but"
Thank you for the reminder!,0,-1,Thank you for the reminder!
Don't know if I'll have time for it ,-1,1,"Don't know if I'll have time for it tho.. since, you know, you gave me the toilet to fix.."
I wasn't involved,-1,1,I wasn't involved in this.
no business,-1,1,You have no business caring about this anyway.
cba.,-2,2,cba.
babysit you,-2,2,I can't babysit you forever.
can't have kids bitch.,-4,4,That's why you can't have kids bitch.
DIE..,-4,4,DIE..
