Name,Variant1Text,Variant1Stamina,Variant1Sanity,Variant2Text,Variant2Stamina,Variant2Sanity,Variant3Text,Variant3Stamina,Variant3Sanity
1,Thank you for your concern.,0,-2,Thank you for your concern.,0,-2,Thank you for your concern.,0,-2
2,I have received your email and want to tell you that I'm looking into the matter immediately!,0,-2,I have received your email and want to tell you that I'm looking into the matter immediately!,0,-2,I have received your email and want to tell you that I'm looking into the matter immediately!,0,-2
3,Oh I'm so sorry. I must have forgot.,0,-2,Oh I'm so sorry. I must have forgot.,0,-2,Oh I'm so sorry. I must have forgot.,0,-2
4,How considerate of you.,0,-1,How considerate of you.,0,-1,I have received your email.,0,-1
5,I see.,0,-1,I see.,0,-1,I see.,0,-1
6,I don't think it will be a problem.,0,-1,I don't think it will be a problem.,0,-1,I don't think this will be a problem.,0,-1
7,Are you sure this isn't a you problem?,-1,1,Are you sure this isn't a you problem?,-1,1,Are you sure this isn't a you problem?,-1,1
8,I have received your email and want to tell you that that's basically as much as I'm gonna do with it.,-1,1,I have received your email and want to tell you that that's basically as much as I'm gonna do with it.,-1,1,I have received your email and want to tell you that that's basically as much as I'm gonna do with it.,-1,1
9,"It is a shame indeed, he always reminded me of you. You know, just in case you wouldn't be in your cubicle.",-1,1,"It is a shame indeed, he always reminded me of you. You know, just in case you wouldn't be in your cubicle.",-1,1,"It is a shame indeed, he always reminded me of you. You know, just in case you wouldn't be in your cubicle.",-1,1
10,"That's horrible. We wouldn't want to be in the dark on when I have a free time now, would we?",-1,1,"That's horrible. We wouldn't want to be in the dark on when I have a free time now, would we?",-1,1,The Killer Croc back at it again.,-1,1
11,You had a problem with that picture the second I put it on my desk.,-2,2,You had a problem with that picture the second I put it on my desk.,-2,2,You had a problem with that picture the second I put it on my desk.,-2,2
12,I'm available right now. Come here and do something about it!,-2,2,I'm available right now. Come here and do something about it!,-2,2,I'm available right now. Come here and do something about it!,-2,2
