Name,Variant1Text,Variant1Stamina,Variant1Sanity,Variant2Text,Variant2Stamina,Variant2Sanity,Variant3Text,Variant3Stamina,Variant3Sanity
1,I miss the picture dearly. His face was the main thing reminding me of the hardships I've overcome.,0,-2,I miss the picture dearly. His face was the main thing reminding me of the hardships I've overcome.,0,-2,I miss the picture dearly. His face was the main thing reminding me of the hardships I've overcome.,0,-2
2,I want to apologize for any inconvenience my unset availability might have caused you.,0,-2,I will make sure my Little Don receives the best care possible.,0,-2,I want to apologize for any inconvenience I might have caused you.,0,-2
3,"I wish my availability could be set to: ""never"". Haha, am I right? xd",0,-1,My dog is so sad it's unbelievable.,0,-1,,,
4,"I'm a bit overloaded at the moment, but",0,-1,But it's a real shame we can't team up. :c,0,-1,"I'm a bit overloaded at the moment, but",0,-1
5,Thank you for the reminder.,0,-1,I will soon be living in the projects if this doesn't work out..,0,-1,Thank you for the reminder.,0,-1
6,I think I'm going to launch a full-on investigation into what bitch took the photo.,-1,1,Unfortunately I couldn't care less about their blood money.,-1,1,"Don't know if I'll have time for it tho.. since, you know, you gave me the toilet to fix..",-1,1
7,If you miss the picture so much you can put a mirror next to your monitor and it'll have the same effect.,-1,1,You've always been stuck up so high up our boss' ass it's a miracle I can even see your head from the cubicle.,-1,1,If you miss the picture so much you can put a mirror next to your monitor and it'll have the same effect.,-1,1
8,You have no business caring about this anyway.,-1,1,It is of natural reptilic tendencies to exhaust its prey to death.,-1,1,You have no business caring about this anyway.,-1,1
9,"You can save your crocodille tears, you crocodile.",-2,2,I will leave you in the dust you two-faced leech.,-2,2,"You can save your crocodille tears, you crocodile.",-2,2
10,"This moment has set forth events beyond your imagination, bitch.",-2,2,You want that project for yourself don't you bitch.,-2,2,X,0,0
